Round,Theta,mu_t,Sb,Sa,Bid,Ask,Trader Type,Trade,Price,Spread Size,Pricing Error
38,9.222960862049216e-47,98.0,1.2617010459283333e-43,1.2617010459283333e-43,98.0,98.0,I,-1,98.0,0.0,0.0
39,1.7523625637893514e-45,98.0,6.640531820675437e-45,6.640531820675437e-45,98.0,98.0,U,1,98.0,0.0,0.0
40,9.222960862049216e-47,98.0,1.2617010459283333e-43,1.2617010459283333e-43,98.0,98.0,I,-1,98.0,0.0,0.0
41,4.854189927394323e-48,98.0,6.640531820675437e-45,6.640531820675437e-45,98.0,98.0,I,-1,98.0,0.0,0.0
42,2.5548368038917487e-49,98.0,3.4950167477239136e-46,3.4950167477239136e-46,98.0,98.0,I,-1,98.0,0.0,0.0
43,1.3446509494167095e-50,98.0,1.8394824988020595e-47,1.8394824988020595e-47,98.0,98.0,I,-1,98.0,0.0,0.0
44,2.5548368038917483e-49,98.0,9.681486835800311e-49,9.681486835800311e-49,98.0,98.0,U,1,98.0,0.0,0.0
45,1.3446509494167095e-50,98.0,1.8394824988020595e-47,1.8394824988020595e-47,98.0,98.0,I,-1,98.0,0.0,0.0
46,7.077110260087944e-52,98.0,9.681486835800311e-49,9.681486835800311e-49,98.0,98.0,I,-1,98.0,0.0,0.0
47,3.724794873730496e-53,98.0,5.09551938726332e-50,5.09551938726332e-50,98.0,98.0,I,-1,98.0,0.0,0.0
48,1.9604183545949975e-54,98.0,2.681852309085958e-51,2.681852309085958e-51,98.0,98.0,I,-1,98.0,0.0,0.0
49,1.031799133997367e-55,98.0,1.4115012153083987e-52,1.4115012153083987e-52,98.0,98.0,I,-1,98.0,0.0,0.0
50,5.430521757880878e-57,98.0,7.428953764781045e-54,7.428953764781045e-54,98.0,98.0,I,-1,98.0,0.0,0.0
51,2.8581693462530935e-58,98.0,3.909975665674234e-55,3.909975665674234e-55,98.0,98.0,I,-1,98.0,0.0,0.0
52,1.5042996559226805e-59,98.0,2.057881929302228e-56,2.057881929302228e-56,98.0,98.0,I,-1,98.0,0.0,0.0
53,7.91736661011937e-61,98.0,1.0830957522643302e-57,1.0830957522643302e-57,98.0,98.0,I,-1,98.0,0.0,0.0
54,4.167035057957563e-62,98.0,5.700503959285948e-59,5.700503959285948e-59,98.0,98.0,I,-1,98.0,0.0,0.0
55,2.1931763462934538e-63,98.0,3.000265241729446e-60,3.000265241729446e-60,98.0,98.0,I,-1,98.0,0.0,0.0
56,1.154303340154449e-64,98.0,1.5790869693312873e-61,1.5790869693312873e-61,98.0,98.0,I,-1,98.0,0.0,0.0
